a,b,question,answer
20,15,20+15=?,35
13,19,13+19=?,32
18,19,18+19=?,37
7,10,7+10=?,17
13,7,13+7=?,20
7,12,7+12=?,19
17,13,17+13=?,30
20,12,20+12=?,32
19,19,19+19=?,38
2,6,2+6=?,8
0,18,0+18=?,18
6,20,6+20=?,26
16,12,16+12=?,28
2,1,2+1=?,3
18,19,18+19=?,37
5,0,5+0=?,5
0,20,0+20=?,20
6,11,6+11=?,17
15,18,15+18=?,33
14,6,14+6=?,20
5,10,5+10=?,15
3,2,3+2=?,5
15,16,15+16=?,31
10,12,10+12=?,22
8,18,8+18=?,26
20,1,20+1=?,21
3,11,3+11=?,14
20,20,20+20=?,40
9,10,9+10=?,19
0,0,0+0=?,0
13,6,13+6=?,19
16,9,16+9=?,25
0,13,0+13=?,13
20,6,20+6=?,26
15,14,15+14=?,29
8,9,8+9=?,17
1,9,1+9=?,10
1,5,1+5=?,6
9,17,9+17=?,26
16,13,16+13=?,29
12,8,12+8=?,20
5,10,5+10=?,15
12,10,12+10=?,22
10,6,10+6=?,16
2,6,2+6=?,8
12,16,12+16=?,28
7,13,7+13=?,20
1,16,1+16=?,17
14,15,14+15=?,29
10,1,10+1=?,11
14,17,14+17=?,31
1,11,1+11=?,12
11,18,11+18=?,29
18,11,18+11=?,29
16,13,16+13=?,29
9,20,9+20=?,29
15,15,15+15=?,30
3,8,3+8=?,11
2,8,2+8=?,10
20,5,20+5=?,25
8,3,8+3=?,11
11,16,11+16=?,27
16,9,16+9=?,25
11,3,11+3=?,14
12,14,12+14=?,26
7,7,7+7=?,14
18,2,18+2=?,20
20,0,20+0=?,20
2,11,2+11=?,13
16,11,16+11=?,27
11,13,11+13=?,24
8,12,8+12=?,20
2,1,2+1=?,3
15,20,15+20=?,35
4,1,4+1=?,5
4,19,4+19=?,23
5,9,5+9=?,14
4,15,4+15=?,19
17,19,17+19=?,36
7,10,7+10=?,17
3,17,3+17=?,20
6,12,6+12=?,18
16,18,16+18=?,34
1,0,1+0=?,1
11,16,11+16=?,27
10,18,10+18=?,28
2,16,2+16=?,18
16,3,16+3=?,19
0,10,0+10=?,10
4,6,4+6=?,10
19,20,19+20=?,39
10,2,10+2=?,12
3,19,3+19=?,22
0,10,0+10=?,10
19,5,19+5=?,24
15,15,15+15=?,30
11,17,11+17=?,28
9,9,9+9=?,18
9,7,9+7=?,16
16,11,16+11=?,27
11,11,11+11=?,22
4,9,4+9=?,13
9,13,9+13=?,22
10,10,10+10=?,20
7,20,7+20=?,27
17,7,17+7=?,24
2,17,2+17=?,19
15,18,15+18=?,33
12,11,12+11=?,23
5,13,5+13=?,18
11,18,11+18=?,29
5,18,5+18=?,23
15,8,15+8=?,23
20,12,20+12=?,32
9,12,9+12=?,21
13,6,13+6=?,19
6,5,6+5=?,11
11,16,11+16=?,27
3,12,3+12=?,15
0,12,0+12=?,12
5,15,5+15=?,20
19,0,19+0=?,19
14,17,14+17=?,31
1,10,1+10=?,11
3,1,3+1=?,4
12,9,12+9=?,21
7,14,7+14=?,21
0,8,0+8=?,8
1,16,1+16=?,17
11,0,11+0=?,11
18,9,18+9=?,27
6,18,6+18=?,24
19,7,19+7=?,26
14,3,14+3=?,17
20,13,20+13=?,33
15,10,15+10=?,25
0,0,0+0=?,0
12,2,12+2=?,14
18,11,18+11=?,29
