a,b,question,answer
17,49,17+49=?,66
50,49,50+49=?,99
77,45,77+45=?,122
38,79,38+79=?,117
31,77,31+77=?,108
15,84,15+84=?,99
38,40,38+40=?,78
42,71,42+71=?,113
26,49,26+49=?,75
15,21,15+21=?,36
86,75,86+75=?,161
50,39,50+39=?,89
48,44,48+44=?,92
49,90,49+90=?,139
67,56,67+56=?,123
70,17,70+17=?,87
85,75,85+75=?,160
87,47,87+47=?,134
64,30,64+30=?,94
61,60,61+60=?,121
27,25,27+25=?,52
72,65,72+65=?,137
20,90,20+90=?,110
29,32,29+32=?,61
30,90,30+90=?,120
66,54,66+54=?,120
46,73,46+73=?,119
89,41,89+41=?,130
69,13,69+13=?,82
81,52,81+52=?,133
64,79,64+79=?,143
46,94,46+94=?,140
13,58,13+58=?,71
49,59,49+59=?,108
54,31,54+31=?,85
90,18,90+18=?,108
69,28,69+28=?,97
52,53,52+53=?,105
46,90,46+90=?,136
31,81,31+81=?,112
31,16,31+16=?,47
45,55,45+55=?,100
41,10,41+10=?,51
91,57,91+57=?,148
61,44,61+44=?,105
76,23,76+23=?,99
28,29,28+29=?,57
56,37,56+37=?,93
11,87,11+87=?,98
45,39,45+39=?,84
66,77,66+77=?,143
90,43,90+43=?,133
85,70,85+70=?,155
61,14,61+14=?,75
10,20,10+20=?,30
74,19,74+19=?,93
70,62,70+62=?,132
85,49,85+49=?,134
83,72,83+72=?,155
76,26,76+26=?,102
41,53,41+53=?,94
62,63,62+63=?,125
47,24,47+24=?,71
59,77,59+77=?,136
46,18,46+18=?,64
23,74,23+74=?,97
98,85,98+85=?,183
22,12,22+12=?,34
64,39,64+39=?,103
74,42,74+42=?,116
91,10,91+10=?,101
27,11,27+11=?,38
85,68,85+68=?,153
97,87,97+87=?,184
98,34,98+34=?,132
85,78,85+78=?,163
65,56,65+56=?,121
70,54,70+54=?,124
89,37,89+37=?,126
54,95,54+95=?,149
59,83,59+83=?,142
43,68,43+68=?,111
48,84,48+84=?,132
75,81,75+81=?,156
56,89,56+89=?,145
34,65,34+65=?,99
18,34,18+34=?,52
44,21,44+21=?,65
98,63,98+63=?,161
22,76,22+76=?,98
95,81,95+81=?,176
39,30,39+30=?,69
19,53,19+53=?,72
31,79,31+79=?,110
95,13,95+13=?,108
29,75,29+75=?,104
64,51,64+51=?,115
51,33,51+33=?,84
67,38,67+38=?,105
51,89,51+89=?,140
15,60,15+60=?,75
66,59,66+59=?,125
35,15,35+15=?,50
23,70,23+70=?,93
18,11,18+11=?,29
43,28,43+28=?,71
90,53,90+53=?,143
75,62,75+62=?,137
96,42,96+42=?,138
23,41,23+41=?,64
95,68,95+68=?,163
79,37,79+37=?,116
39,31,39+31=?,70
10,33,10+33=?,43
17,99,17+99=?,116
44,96,44+96=?,140
24,43,24+43=?,67
17,64,17+64=?,81
18,90,18+90=?,108
70,48,70+48=?,118
25,58,25+58=?,83
26,82,26+82=?,108
31,87,31+87=?,118
67,28,67+28=?,95
33,39,33+39=?,72
14,77,14+77=?,91
36,33,36+33=?,69
58,66,58+66=?,124
53,65,53+65=?,118
57,96,57+96=?,153
22,74,22+74=?,96
40,94,40+94=?,134
72,78,72+78=?,150
89,91,89+91=?,180
61,90,61+90=?,151
20,54,20+54=?,74
22,81,22+81=?,103
79,78,79+78=?,157
71,13,71+13=?,84
77,46,77+46=?,123
96,60,96+60=?,156
28,93,28+93=?,121
36,41,36+41=?,77
55,49,55+49=?,104
83,29,83+29=?,112
78,18,78+18=?,96
62,21,62+21=?,83
20,99,20+99=?,119
57,33,57+33=?,90
82,71,82+71=?,153
16,72,16+72=?,88
16,89,16+89=?,105
85,22,85+22=?,107
28,56,28+56=?,84
54,21,54+21=?,75
94,90,94+90=?,184
61,71,61+71=?,132
44,19,44+19=?,63
30,44,30+44=?,74
34,59,34+59=?,93
13,64,13+64=?,77
64,83,64+83=?,147
88,93,88+93=?,181
22,29,22+29=?,51
19,29,19+29=?,48
93,43,93+43=?,136
34,99,34+99=?,133
40,64,40+64=?,104
47,76,47+76=?,123
63,69,63+69=?,132
57,79,57+79=?,136
46,89,46+89=?,135
18,76,18+76=?,94
13,69,13+69=?,82
55,66,55+66=?,121
32,25,32+25=?,57
91,63,91+63=?,154
19,68,19+68=?,87
88,13,88+13=?,101
55,20,55+20=?,75
99,97,99+97=?,196
42,61,42+61=?,103
95,99,95+99=?,194
