a,b,question,answer
18,14,18-14=?,4
72,26,72-26=?,46
86,22,86-22=?,64
112,19,112-19=?,93
126,11,126-11=?,115
121,38,121-38=?,83
40,14,40-14=?,26
76,48,76-48=?,28
103,69,103-69=?,34
41,26,41-26=?,15
89,75,89-75=?,14
197,44,197-44=?,153
78,56,78-56=?,22
196,70,196-70=?,126
147,76,147-76=?,71
150,94,150-94=?,56
174,75,174-75=?,99
103,35,103-35=?,68
113,109,113-109=?,4
125,102,125-102=?,23
120,67,120-67=?,53
138,102,138-102=?,36
98,57,98-57=?,41
100,23,100-23=?,77
99,82,99-82=?,17
76,35,76-35=?,41
67,64,67-64=?,3
35,26,35-26=?,9
149,67,149-67=?,82
191,190,191-190=?,1
175,132,175-132=?,43
99,70,99-70=?,29
145,85,145-85=?,60
177,137,177-137=?,40
62,54,62-54=?,8
58,50,58-50=?,8
150,39,150-39=?,111
158,81,158-81=?,77
66,30,66-30=?,36
191,64,191-64=?,127
155,143,155-143=?,12
181,136,181-136=?,45
21,13,21-13=?,8
128,58,128-58=?,70
106,49,106-49=?,57
68,31,68-31=?,37
182,109,182-109=?,73
107,92,107-92=?,15
32,27,32-27=?,5
86,84,86-84=?,2
185,156,185-156=?,29
74,54,74-54=?,20
150,148,150-148=?,2
116,52,116-52=?,64
125,70,125-70=?,55
113,104,113-104=?,9
119,100,119-100=?,19
114,80,114-80=?,34
89,11,89-11=?,78
102,56,102-56=?,46
139,128,139-128=?,11
115,62,115-62=?,53
192,150,192-150=?,42
172,34,172-34=?,138
68,41,68-41=?,27
119,67,119-67=?,52
62,45,62-45=?,17
82,17,82-17=?,65
44,24,44-24=?,20
184,69,184-69=?,115
148,27,148-27=?,121
121,120,121-120=?,1
64,14,64-14=?,50
68,37,68-37=?,31
120,34,120-34=?,86
109,27,109-27=?,82
48,45,48-45=?,3
82,58,82-58=?,24
89,19,89-19=?,70
18,14,18-14=?,4
128,36,128-36=?,92
87,74,87-74=?,13
164,108,164-108=?,56
127,116,127-116=?,11
162,115,162-115=?,47
187,30,187-30=?,157
71,25,71-25=?,46
184,116,184-116=?,68
78,23,78-23=?,55
17,14,17-14=?,3
76,38,76-38=?,38
75,34,75-34=?,41
179,17,179-17=?,162
61,52,61-52=?,9
39,24,39-24=?,15
41,38,41-38=?,3
37,21,37-21=?,16
76,12,76-12=?,64
32,27,32-27=?,5
46,20,46-20=?,26
