a,b,question,answer
28,22,28+22=?,50
25,38,25+38=?,63
31,27,31+27=?,58
47,40,47+40=?,87
50,36,50+36=?,86
34,38,34+38=?,72
47,21,47+21=?,68
31,34,31+34=?,65
11,30,11+30=?,41
40,34,40+34=?,74
20,37,20+37=?,57
37,17,37+17=?,54
16,7,16+7=?,23
34,43,34+43=?,77
18,4,18+4=?,22
39,8,39+8=?,47
5,15,5+15=?,20
7,50,7+50=?,57
9,1,9+1=?,10
7,4,7+4=?,11
29,26,29+26=?,55
42,22,42+22=?,64
33,12,33+12=?,45
29,8,29+8=?,37
43,45,43+45=?,88
21,8,21+8=?,29
42,45,42+45=?,87
24,41,24+41=?,65
1,41,1+41=?,42
28,16,28+16=?,44
6,30,6+30=?,36
9,49,9+49=?,58
47,46,47+46=?,93
47,14,47+14=?,61
12,24,12+24=?,36
4,37,4+37=?,41
23,18,23+18=?,41
18,10,18+10=?,28
4,41,4+41=?,45
19,40,19+40=?,59
20,30,20+30=?,50
11,40,11+40=?,51
36,4,36+4=?,40
10,40,10+40=?,50
19,34,19+34=?,53
32,37,32+37=?,69
13,33,13+33=?,46
27,39,27+39=?,66
28,36,28+36=?,64
22,16,22+16=?,38
26,48,26+48=?,74
31,7,31+7=?,38
1,39,1+39=?,40
43,26,43+26=?,69
21,30,21+30=?,51
19,38,19+38=?,57
0,48,0+48=?,48
18,10,18+10=?,28
1,27,1+27=?,28
18,19,18+19=?,37
29,44,29+44=?,73
45,40,45+40=?,85
23,26,23+26=?,49
43,42,43+42=?,85
46,14,46+14=?,60
49,4,49+4=?,53
18,7,18+7=?,25
13,49,13+49=?,62
4,16,4+16=?,20
46,17,46+17=?,63
8,1,8+1=?,9
35,40,35+40=?,75
43,20,43+20=?,63
13,43,13+43=?,56
10,19,10+19=?,29
49,25,49+25=?,74
7,2,7+2=?,9
3,9,3+9=?,12
38,48,38+48=?,86
30,19,30+19=?,49
41,37,41+37=?,78
6,19,6+19=?,25
41,9,41+9=?,50
49,13,49+13=?,62
50,13,50+13=?,63
24,32,24+32=?,56
16,49,16+49=?,65
46,0,46+0=?,46
2,27,2+27=?,29
4,18,4+18=?,22
6,37,6+37=?,43
37,11,37+11=?,48
36,44,36+44=?,80
49,33,49+33=?,82
15,21,15+21=?,36
21,48,21+48=?,69
17,9,17+9=?,26
38,38,38+38=?,76
7,32,7+32=?,39
2,38,2+38=?,40
12,6,12+6=?,18
41,34,41+34=?,75
5,48,5+48=?,53
32,44,32+44=?,76
22,31,22+31=?,53
47,5,47+5=?,52
9,38,9+38=?,47
40,11,40+11=?,51
38,35,38+35=?,73
34,39,34+39=?,73
29,36,29+36=?,65
29,45,29+45=?,74
3,34,3+34=?,37
14,46,14+46=?,60
25,26,25+26=?,51
20,46,20+46=?,66
16,5,16+5=?,21
39,14,39+14=?,53
10,19,10+19=?,29
29,5,29+5=?,34
37,2,37+2=?,39
5,43,5+43=?,48
41,17,41+17=?,58
17,49,17+49=?,66
30,50,30+50=?,80
35,28,35+28=?,63
37,1,37+1=?,38
15,2,15+2=?,17
18,41,18+41=?,59
48,5,48+5=?,53
3,19,3+19=?,22
16,30,16+30=?,46
34,17,34+17=?,51
43,3,43+3=?,46
13,50,13+50=?,63
31,2,31+2=?,33
43,41,43+41=?,84
41,41,41+41=?,82
46,23,46+23=?,69
13,39,13+39=?,52
31,3,31+3=?,34
1,21,1+21=?,22
49,21,49+21=?,70
0,5,0+5=?,5
37,24,37+24=?,61
11,43,11+43=?,54
37,18,37+18=?,55
24,38,24+38=?,62
42,1,42+1=?,43
28,26,28+26=?,54
25,26,25+26=?,51
4,13,4+13=?,17
22,44,22+44=?,66
45,42,45+42=?,87
15,2,15+2=?,17
19,42,19+42=?,61
5,48,5+48=?,53
36,9,36+9=?,45
17,32,17+32=?,49
39,9,39+9=?,48
0,40,0+40=?,40
34,2,34+2=?,36
6,1,6+1=?,7
41,49,41+49=?,90
29,17,29+17=?,46
43,0,43+0=?,43
5,9,5+9=?,14
35,22,35+22=?,57
15,14,15+14=?,29
23,24,23+24=?,47
42,4,42+4=?,46
7,4,7+4=?,11
47,11,47+11=?,58
27,43,27+43=?,70
20,38,20+38=?,58
40,43,40+43=?,83
0,41,0+41=?,41
26,30,26+30=?,56
24,14,24+14=?,38
8,46,8+46=?,54
33,7,33+7=?,40
42,16,42+16=?,58
49,19,49+19=?,68
25,15,25+15=?,40
45,1,45+1=?,46
45,37,45+37=?,82
35,34,35+34=?,69
11,6,11+6=?,17
33,29,33+29=?,62
16,30,16+30=?,46
47,46,47+46=?,93
4,17,4+17=?,21
32,18,32+18=?,50
22,29,22+29=?,51
41,43,41+43=?,84
33,50,33+50=?,83
1,34,1+34=?,35
24,26,24+26=?,50
8,29,8+29=?,37
46,44,46+44=?,90
47,36,47+36=?,83
26,2,26+2=?,28
0,24,0+24=?,24
17,9,17+9=?,26
31,47,31+47=?,78
18,9,18+9=?,27
21,34,21+34=?,55
19,12,19+12=?,31
37,46,37+46=?,83
2,18,2+18=?,20
8,22,8+22=?,30
44,27,44+27=?,71
49,16,49+16=?,65
