a,b,question,answer
17,2,17-2=?,15
34,28,34-28=?,6
27,15,27-15=?,12
13,8,13-8=?,5
9,4,9-4=?,5
29,23,29-23=?,6
21,17,21-17=?,4
9,7,9-7=?,2
16,2,16-2=?,14
37,17,37-17=?,20
24,19,24-19=?,5
15,5,15-5=?,10
34,4,34-4=?,30
48,13,48-13=?,35
43,41,43-41=?,2
32,6,32-6=?,26
14,10,14-10=?,4
44,35,44-35=?,9
19,14,19-14=?,5
6,5,6-5=?,1
28,19,28-19=?,9
37,3,37-3=?,34
28,22,28-22=?,6
45,34,45-34=?,11
44,41,44-41=?,3
17,16,17-16=?,1
35,10,35-10=?,25
50,47,50-47=?,3
14,7,14-7=?,7
50,35,50-35=?,15
3,2,3-2=?,1
36,32,36-32=?,4
31,8,31-8=?,23
14,12,14-12=?,2
40,11,40-11=?,29
31,5,31-5=?,26
16,3,16-3=?,13
21,11,21-11=?,10
20,1,20-1=?,19
21,10,21-10=?,11
6,3,6-3=?,3
28,12,28-12=?,16
8,7,8-7=?,1
21,7,21-7=?,14
27,26,27-26=?,1
30,21,30-21=?,9
9,5,9-5=?,4
20,19,20-19=?,1
47,40,47-40=?,7
45,13,45-13=?,32
2,1,2-1=?,1
45,9,45-9=?,36
29,26,29-26=?,3
19,9,19-9=?,10
45,11,45-11=?,34
25,5,25-5=?,20
43,33,43-33=?,10
17,13,17-13=?,4
13,10,13-10=?,3
17,6,17-6=?,11
23,9,23-9=?,14
45,22,45-22=?,23
30,23,30-23=?,7
48,1,48-1=?,47
45,26,45-26=?,19
41,4,41-4=?,37
43,28,43-28=?,15
31,16,31-16=?,15
18,17,18-17=?,1
28,13,28-13=?,15
19,17,19-17=?,2
17,11,17-11=?,6
18,9,18-9=?,9
2,1,2-1=?,1
18,2,18-2=?,16
36,30,36-30=?,6
49,36,49-36=?,13
17,13,17-13=?,4
2,1,2-1=?,1
22,9,22-9=?,13
37,19,37-19=?,18
46,21,46-21=?,25
4,3,4-3=?,1
27,9,27-9=?,18
20,12,20-12=?,8
7,1,7-1=?,6
48,32,48-32=?,16
22,17,22-17=?,5
26,13,26-13=?,13
49,27,49-27=?,22
47,24,47-24=?,23
18,10,18-10=?,8
32,1,32-1=?,31
28,12,28-12=?,16
11,9,11-9=?,2
43,14,43-14=?,29
25,15,25-15=?,10
31,22,31-22=?,9
37,26,37-26=?,11
37,36,37-36=?,1
7,6,7-6=?,1
42,41,42-41=?,1
33,28,33-28=?,5
50,20,50-20=?,30
49,39,49-39=?,10
20,19,20-19=?,1
36,31,36-31=?,5
38,9,38-9=?,29
28,9,28-9=?,19
27,4,27-4=?,23
3,1,3-1=?,2
35,1,35-1=?,34
19,5,19-5=?,14
5,2,5-2=?,3
38,6,38-6=?,32
31,30,31-30=?,1
18,14,18-14=?,4
17,7,17-7=?,10
32,7,32-7=?,25
9,6,9-6=?,3
8,6,8-6=?,2
32,22,32-22=?,10
36,4,36-4=?,32
30,16,30-16=?,14
4,3,4-3=?,1
44,32,44-32=?,12
6,4,6-4=?,2
43,14,43-14=?,29
19,7,19-7=?,12
13,5,13-5=?,8
30,21,30-21=?,9
38,14,38-14=?,24
3,2,3-2=?,1
7,4,7-4=?,3
41,29,41-29=?,12
7,4,7-4=?,3
27,4,27-4=?,23
42,7,42-7=?,35
15,11,15-11=?,4
50,30,50-30=?,20
26,19,26-19=?,7
19,18,19-18=?,1
19,11,19-11=?,8
34,27,34-27=?,7
36,9,36-9=?,27
22,13,22-13=?,9
14,11,14-11=?,3
36,10,36-10=?,26
22,8,22-8=?,14
18,5,18-5=?,13
36,20,36-20=?,16
45,8,45-8=?,37
48,26,48-26=?,22
10,4,10-4=?,6
31,2,31-2=?,29
3,2,3-2=?,1
33,9,33-9=?,24
28,14,28-14=?,14
38,36,38-36=?,2
5,1,5-1=?,4
42,40,42-40=?,2
16,3,16-3=?,13
29,19,29-19=?,10
10,3,10-3=?,7
5,4,5-4=?,1
48,14,48-14=?,34
15,10,15-10=?,5
14,5,14-5=?,9
6,4,6-4=?,2
32,30,32-30=?,2
19,17,19-17=?,2
40,15,40-15=?,25
49,18,49-18=?,31
30,6,30-6=?,24
5,4,5-4=?,1
36,26,36-26=?,10
45,6,45-6=?,39
35,3,35-3=?,32
9,6,9-6=?,3
4,3,4-3=?,1
