a,b,question,answer
14,13,14-13=?,1
96,95,96-95=?,1
29,12,29-12=?,17
52,14,52-14=?,38
99,90,99-90=?,9
70,19,70-19=?,51
75,40,75-40=?,35
31,15,31-15=?,16
78,32,78-32=?,46
17,13,17-13=?,4
36,34,36-34=?,2
45,13,45-13=?,32
70,11,70-11=?,59
54,47,54-47=?,7
66,36,66-36=?,30
70,62,70-62=?,8
57,21,57-21=?,36
78,59,78-59=?,19
49,33,49-33=?,16
43,27,43-27=?,16
74,70,74-70=?,4
35,17,35-17=?,18
39,37,39-37=?,2
25,11,25-11=?,14
69,52,69-52=?,17
42,11,42-11=?,31
88,33,88-33=?,55
42,13,42-13=?,29
84,77,84-77=?,7
87,56,87-56=?,31
56,49,56-49=?,7
72,66,72-66=?,6
86,84,86-84=?,2
86,31,86-31=?,55
70,56,70-56=?,14
41,17,41-17=?,24
52,14,52-14=?,38
41,29,41-29=?,12
16,13,16-13=?,3
70,67,70-67=?,3
47,21,47-21=?,26
53,29,53-29=?,24
57,25,57-25=?,32
28,11,28-11=?,17
80,57,80-57=?,23
92,48,92-48=?,44
23,20,23-20=?,3
12,11,12-11=?,1
21,14,21-14=?,7
51,13,51-13=?,38
30,17,30-17=?,13
54,31,54-31=?,23
69,14,69-14=?,55
54,36,54-36=?,18
62,27,62-27=?,35
43,17,43-17=?,26
72,58,72-58=?,14
38,24,38-24=?,14
31,28,31-28=?,3
96,42,96-42=?,54
49,22,49-22=?,27
28,18,28-18=?,10
47,40,47-40=?,7
33,11,33-11=?,22
91,27,91-27=?,64
12,11,12-11=?,1
69,30,69-30=?,39
67,59,67-59=?,8
48,33,48-33=?,15
16,15,16-15=?,1
82,68,82-68=?,14
97,48,97-48=?,49
76,66,76-66=?,10
97,90,97-90=?,7
51,32,51-32=?,19
52,26,52-26=?,26
45,29,45-29=?,16
89,38,89-38=?,51
46,28,46-28=?,18
42,22,42-22=?,20
88,33,88-33=?,55
80,17,80-17=?,63
90,30,90-30=?,60
23,18,23-18=?,5
44,20,44-20=?,24
68,48,68-48=?,20
70,25,70-25=?,45
41,40,41-40=?,1
36,23,36-23=?,13
19,12,19-12=?,7
83,13,83-13=?,70
24,16,24-16=?,8
38,15,38-15=?,23
36,23,36-23=?,13
50,18,50-18=?,32
49,36,49-36=?,13
61,21,61-21=?,40
64,37,64-37=?,27
36,20,36-20=?,16
75,31,75-31=?,44
65,62,65-62=?,3
81,61,81-61=?,20
33,28,33-28=?,5
54,33,54-33=?,21
18,14,18-14=?,4
59,40,59-40=?,19
68,63,68-63=?,5
80,28,80-28=?,52
46,17,46-17=?,29
43,25,43-25=?,18
19,17,19-17=?,2
26,17,26-17=?,9
25,20,25-20=?,5
43,20,43-20=?,23
19,13,19-13=?,6
50,45,50-45=?,5
53,30,53-30=?,23
48,22,48-22=?,26
66,60,66-60=?,6
17,16,17-16=?,1
45,24,45-24=?,21
35,32,35-32=?,3
95,51,95-51=?,44
30,22,30-22=?,8
54,17,54-17=?,37
26,12,26-12=?,14
94,47,94-47=?,47
74,31,74-31=?,43
93,28,93-28=?,65
49,46,49-46=?,3
48,32,48-32=?,16
16,11,16-11=?,5
39,26,39-26=?,13
90,35,90-35=?,55
17,15,17-15=?,2
16,13,16-13=?,3
31,17,31-17=?,14
44,12,44-12=?,32
82,67,82-67=?,15
82,34,82-34=?,48
40,36,40-36=?,4
47,15,47-15=?,32
50,17,50-17=?,33
57,21,57-21=?,36
34,13,34-13=?,21
24,17,24-17=?,7
19,14,19-14=?,5
39,23,39-23=?,16
22,14,22-14=?,8
75,19,75-19=?,56
37,27,37-27=?,10
12,11,12-11=?,1
35,24,35-24=?,11
25,20,25-20=?,5
55,21,55-21=?,34
67,41,67-41=?,26
91,58,91-58=?,33
16,15,16-15=?,1
50,24,50-24=?,26
21,15,21-15=?,6
56,48,56-48=?,8
92,83,92-83=?,9
