a,b,question,answer
59,24,59+24=?,83
65,64,65+64=?,129
40,22,40+22=?,62
68,12,68+12=?,80
10,77,10+77=?,87
10,30,10+30=?,40
25,11,25+11=?,36
0,18,0+18=?,18
54,25,54+25=?,79
1,49,1+49=?,50
13,50,13+50=?,63
51,3,51+3=?,54
69,44,69+44=?,113
48,16,48+16=?,64
49,31,49+31=?,80
38,16,38+16=?,54
80,33,80+33=?,113
23,16,23+16=?,39
38,53,38+53=?,91
52,48,52+48=?,100
63,73,63+73=?,136
61,31,61+31=?,92
50,52,50+52=?,102
3,67,3+67=?,70
45,20,45+20=?,65
36,30,36+30=?,66
31,37,31+37=?,68
55,28,55+28=?,83
12,40,12+40=?,52
32,8,32+8=?,40
19,13,19+13=?,32
44,24,44+24=?,68
23,4,23+4=?,27
69,3,69+3=?,72
58,17,58+17=?,75
56,76,56+76=?,132
56,66,56+66=?,122
61,15,61+15=?,76
76,22,76+22=?,98
78,15,78+15=?,93
62,28,62+28=?,90
46,12,46+12=?,58
58,70,58+70=?,128
2,26,2+26=?,28
32,16,32+16=?,48
14,25,14+25=?,39
27,42,27+42=?,69
17,54,17+54=?,71
67,36,67+36=?,103
17,29,17+29=?,46
44,75,44+75=?,119
49,67,49+67=?,116
17,3,17+3=?,20
77,18,77+18=?,95
7,54,7+54=?,61
56,76,56+76=?,132
53,72,53+72=?,125
50,56,50+56=?,106
7,8,7+8=?,15
72,6,72+6=?,78
8,52,8+52=?,60
50,65,50+65=?,115
55,11,55+11=?,66
46,28,46+28=?,74
20,62,20+62=?,82
60,66,60+66=?,126
30,46,30+46=?,76
57,20,57+20=?,77
40,64,40+64=?,104
64,33,64+33=?,97
40,71,40+71=?,111
17,2,17+2=?,19
30,39,30+39=?,69
71,39,71+39=?,110
12,15,12+15=?,27
6,9,6+9=?,15
15,17,15+17=?,32
51,0,51+0=?,51
39,29,39+29=?,68
13,63,13+63=?,76
10,29,10+29=?,39
18,45,18+45=?,63
56,27,56+27=?,83
0,8,0+8=?,8
1,48,1+48=?,49
35,23,35+23=?,58
45,1,45+1=?,46
66,46,66+46=?,112
46,19,46+19=?,65
69,1,69+1=?,70
47,17,47+17=?,64
4,7,4+7=?,11
37,79,37+79=?,116
18,66,18+66=?,84
45,70,45+70=?,115
30,22,30+22=?,52
26,80,26+80=?,106
42,24,42+24=?,66
14,41,14+41=?,55
2,61,2+61=?,63
30,44,30+44=?,74
6,75,6+75=?,81
79,46,79+46=?,125
4,71,4+71=?,75
24,59,24+59=?,83
54,19,54+19=?,73
