a,b,question,answer
20,5,20×5=?,100
20,6,20×6=?,120
13,6,13×6=?,78
17,7,17×7=?,119
20,6,20×6=?,120
18,5,18×5=?,90
12,6,12×6=?,72
17,8,17×8=?,136
20,6,20×6=?,120
16,8,16×8=?,128
15,7,15×7=?,105
17,4,17×4=?,68
14,5,14×5=?,70
16,3,16×3=?,48
11,7,11×7=?,77
17,4,17×4=?,68
20,5,20×5=?,100
19,8,19×8=?,152
15,2,15×2=?,30
15,4,15×4=?,60
14,4,14×4=?,56
10,3,10×3=?,30
14,5,14×5=?,70
19,6,19×6=?,114
11,6,11×6=?,66
13,5,13×5=?,65
10,5,10×5=?,50
15,2,15×2=?,30
20,3,20×3=?,60
12,5,12×5=?,60
12,6,12×6=?,72
12,8,12×8=?,96
17,5,17×5=?,85
18,8,18×8=?,144
20,8,20×8=?,160
13,4,13×4=?,52
10,7,10×7=?,70
12,3,12×3=?,36
19,9,19×9=?,171
16,8,16×8=?,128
16,6,16×6=?,96
20,2,20×2=?,40
17,2,17×2=?,34
15,8,15×8=?,120
17,2,17×2=?,34
10,5,10×5=?,50
16,8,16×8=?,128
14,6,14×6=?,84
10,8,10×8=?,80
18,2,18×2=?,36
16,7,16×7=?,112
19,4,19×4=?,76
20,3,20×3=?,60
11,8,11×8=?,88
16,2,16×2=?,32
11,9,11×9=?,99
16,5,16×5=?,80
20,8,20×8=?,160
11,5,11×5=?,55
16,4,16×4=?,64
15,3,15×3=?,45
13,4,13×4=?,52
12,2,12×2=?,24
13,6,13×6=?,78
14,4,14×4=?,56
19,6,19×6=?,114
12,8,12×8=?,96
18,3,18×3=?,54
18,8,18×8=?,144
17,2,17×2=?,34
17,6,17×6=?,102
18,7,18×7=?,126
10,7,10×7=?,70
17,4,17×4=?,68
17,9,17×9=?,153
17,8,17×8=?,136
12,5,12×5=?,60
17,3,17×3=?,51
16,4,16×4=?,64
15,4,15×4=?,60
16,8,16×8=?,128
19,2,19×2=?,38
20,2,20×2=?,40
16,6,16×6=?,96
20,2,20×2=?,40
14,6,14×6=?,84
12,5,12×5=?,60
10,3,10×3=?,30
15,9,15×9=?,135
12,9,12×9=?,108
10,5,10×5=?,50
10,2,10×2=?,20
14,4,14×4=?,56
11,9,11×9=?,99
12,5,12×5=?,60
15,5,15×5=?,75
19,6,19×6=?,114
13,3,13×3=?,39
14,2,14×2=?,28
12,4,12×4=?,48
20,5,20×5=?,100
11,4,11×4=?,44
13,9,13×9=?,117
18,7,18×7=?,126
11,6,11×6=?,66
19,7,19×7=?,133
17,5,17×5=?,85
14,3,14×3=?,42
13,5,13×5=?,65
10,3,10×3=?,30
14,7,14×7=?,98
13,9,13×9=?,117
19,7,19×7=?,133
17,8,17×8=?,136
20,7,20×7=?,140
13,3,13×3=?,39
12,5,12×5=?,60
17,3,17×3=?,51
12,9,12×9=?,108
10,5,10×5=?,50
10,4,10×4=?,40
