a,b,question,answer
2,1,2-1=?,1
9,2,9-2=?,7
14,9,14-9=?,5
12,3,12-3=?,9
4,1,4-1=?,3
15,10,15-10=?,5
13,3,13-3=?,10
17,7,17-7=?,10
10,6,10-6=?,4
3,1,3-1=?,2
6,1,6-1=?,5
4,3,4-3=?,1
12,6,12-6=?,6
18,9,18-9=?,9
9,1,9-1=?,8
6,3,6-3=?,3
12,5,12-5=?,7
10,5,10-5=?,5
2,1,2-1=?,1
2,1,2-1=?,1
5,4,5-4=?,1
2,1,2-1=?,1
7,2,7-2=?,5
19,12,19-12=?,7
13,11,13-11=?,2
12,1,12-1=?,11
11,5,11-5=?,6
16,4,16-4=?,12
15,3,15-3=?,12
5,3,5-3=?,2
9,4,9-4=?,5
4,1,4-1=?,3
17,5,17-5=?,12
18,5,18-5=?,13
19,4,19-4=?,15
11,8,11-8=?,3
16,2,16-2=?,14
6,5,6-5=?,1
15,1,15-1=?,14
2,1,2-1=?,1
10,5,10-5=?,5
14,8,14-8=?,6
14,11,14-11=?,3
8,2,8-2=?,6
17,10,17-10=?,7
19,12,19-12=?,7
12,11,12-11=?,1
2,1,2-1=?,1
17,7,17-7=?,10
16,10,16-10=?,6
7,4,7-4=?,3
15,8,15-8=?,7
15,14,15-14=?,1
13,7,13-7=?,6
4,1,4-1=?,3
5,3,5-3=?,2
5,1,5-1=?,4
5,1,5-1=?,4
15,7,15-7=?,8
2,1,2-1=?,1
16,7,16-7=?,9
6,5,6-5=?,1
5,3,5-3=?,2
11,7,11-7=?,4
13,6,13-6=?,7
17,10,17-10=?,7
5,2,5-2=?,3
2,1,2-1=?,1
7,3,7-3=?,4
6,1,6-1=?,5
17,14,17-14=?,3
19,2,19-2=?,17
18,2,18-2=?,16
12,1,12-1=?,11
13,2,13-2=?,11
18,4,18-4=?,14
9,6,9-6=?,3
18,12,18-12=?,6
