a,b,question,answer
4,9,4×9=?,36
9,8,9×8=?,72
8,7,8×7=?,56
3,2,3×2=?,6
3,8,3×8=?,24
6,7,6×7=?,42
2,5,2×5=?,10
6,5,6×5=?,30
4,8,4×8=?,32
9,7,9×7=?,63
9,8,9×8=?,72
3,3,3×3=?,9
4,9,4×9=?,36
3,3,3×3=?,9
7,7,7×7=?,49
6,6,6×6=?,36
5,5,5×5=?,25
7,5,7×5=?,35
5,7,5×7=?,35
8,4,8×4=?,32
5,3,5×3=?,15
9,4,9×4=?,36
4,7,4×7=?,28
3,5,3×5=?,15
9,3,9×3=?,27
3,9,3×9=?,27
6,3,6×3=?,18
7,8,7×8=?,56
8,2,8×2=?,16
8,2,8×2=?,16
5,9,5×9=?,45
5,4,5×4=?,20
8,2,8×2=?,16
5,5,5×5=?,25
5,6,5×6=?,30
2,5,2×5=?,10
9,7,9×7=?,63
8,2,8×2=?,16
6,2,6×2=?,12
2,5,2×5=?,10
7,5,7×5=?,35
8,2,8×2=?,16
6,7,6×7=?,42
4,6,4×6=?,24
2,8,2×8=?,16
3,9,3×9=?,27
3,4,3×4=?,12
5,9,5×9=?,45
5,4,5×4=?,20
6,7,6×7=?,42
2,6,2×6=?,12
3,6,3×6=?,18
3,5,3×5=?,15
8,3,8×3=?,24
4,6,4×6=?,24
9,5,9×5=?,45
2,9,2×9=?,18
8,9,8×9=?,72
7,4,7×4=?,28
7,2,7×2=?,14
3,6,3×6=?,18
4,9,4×9=?,36
8,4,8×4=?,32
8,4,8×4=?,32
9,4,9×4=?,36
6,7,6×7=?,42
7,3,7×3=?,21
3,8,3×8=?,24
7,9,7×9=?,63
8,4,8×4=?,32
5,8,5×8=?,40
2,2,2×2=?,4
6,2,6×2=?,12
9,3,9×3=?,27
6,6,6×6=?,36
3,8,3×8=?,24
7,7,7×7=?,49
6,8,6×8=?,48
5,5,5×5=?,25
5,3,5×3=?,15
2,5,2×5=?,10
2,3,2×3=?,6
7,6,7×6=?,42
6,9,6×9=?,54
9,9,9×9=?,81
8,2,8×2=?,16
3,8,3×8=?,24
4,3,4×3=?,12
3,4,3×4=?,12
6,8,6×8=?,48
3,3,3×3=?,9
2,8,2×8=?,16
3,9,3×9=?,27
5,7,5×7=?,35
3,9,3×9=?,27
6,8,6×8=?,48
8,5,8×5=?,40
2,4,2×4=?,8
3,2,3×2=?,6
4,8,4×8=?,32
2,6,2×6=?,12
2,7,2×7=?,14
3,4,3×4=?,12
6,3,6×3=?,18
9,8,9×8=?,72
5,5,5×5=?,25
8,9,8×9=?,72
7,3,7×3=?,21
2,4,2×4=?,8
6,7,6×7=?,42
9,5,9×5=?,45
3,4,3×4=?,12
3,8,3×8=?,24
4,5,4×5=?,20
7,6,7×6=?,42
8,3,8×3=?,24
2,3,2×3=?,6
9,8,9×8=?,72
6,4,6×4=?,24
3,4,3×4=?,12
2,3,2×3=?,6
2,2,2×2=?,4
5,6,5×6=?,30
8,7,8×7=?,56
4,3,4×3=?,12
2,9,2×9=?,18
2,5,2×5=?,10
4,5,4×5=?,20
3,7,3×7=?,21
2,7,2×7=?,14
7,5,7×5=?,35
2,6,2×6=?,12
7,4,7×4=?,28
4,6,4×6=?,24
2,9,2×9=?,18
5,6,5×6=?,30
6,5,6×5=?,30
6,6,6×6=?,36
9,6,9×6=?,54
5,3,5×3=?,15
2,4,2×4=?,8
9,9,9×9=?,81
7,9,7×9=?,63
4,4,4×4=?,16
2,8,2×8=?,16
2,3,2×3=?,6
6,2,6×2=?,12
7,6,7×6=?,42
7,8,7×8=?,56
9,9,9×9=?,81
8,2,8×2=?,16
7,7,7×7=?,49
